Datetime (UTC),Timezone (minutes),Unix Timestamp (UTC),Acc magnitude avg,Eda avg,Temp avg,Movement intensity,Steps count,Rest,On Wrist
2020-01-20T23:48:00Z,-360,1579564080000,0.912031,0.127240,30.651864,0,0,0,true
2020-01-20T23:49:00Z,-360,1579564140000,0.907116,0.129612,30.661733,0,0,0,true
2020-01-20T23:50:00Z,-360,1579564200000,1.035092,0.131663,30.648533,0,0,0,true
2020-01-20T23:51:00Z,-360,1579564260000,0.964234,0.129823,30.539917,0,0,0,true
2020-01-20T23:52:00Z,-360,1579564320000,0.949239,0.123171,30.433300,0,0,0,true
2020-01-20T23:53:00Z,-360,1579564380000,0.942692,0.131410,30.355433,0,0,0,true
2020-01-20T23:54:00Z,-360,1579564440000,0.979265,0.129997,30.310583,0,0,0,true
2020-01-20T23:55:00Z,-360,1579564500000,0.948582,0.116315,30.316283,0,0,0,true
2020-01-20T23:56:00Z,-360,1579564560000,0.946408,0.114835,30.350017,0,0,0,true
2020-01-20T23:57:00Z,-360,1579564620000,0.933986,0.138020,30.372833,0,0,0,true
2020-01-20T23:58:00Z,-360,1579564680000,0.974856,0.096520,30.261583,0,0,0,true
2020-01-20T23:59:00Z,-360,1579564740000,0.982476,0.093512,30.169367,0,0,0,true
2020-01-21T00:00:00Z,-360,1579564800000,0.940071,0.103712,30.214383,0,0,0,true
2020-01-21T00:01:00Z,-360,1579564860000,0.938100,0.112182,30.220000,0,0,0,true
2020-01-21T00:02:00Z,-360,1579564920000,0.961663,0.110030,30.188233,0,0,0,true
2020-01-21T00:03:00Z,-360,1579564980000,0.959875,0.109180,30.151733,0,0,0,true
2020-01-21T00:04:00Z,-360,1579565040000,0.970842,0.108462,30.103183,0,0,0,true
2020-01-21T00:05:00Z,-360,1579565100000,0.968267,0.106484,30.046633,0,0,0,true
2020-01-21T00:06:00Z,-360,1579565160000,0.967873,0.106800,30.027983,0,0,0,true
2020-01-21T00:07:00Z,-360,1579565220000,0.972931,0.105547,30.005650,0,0,0,true
2020-01-21T00:08:00Z,-360,1579565280000,0.966782,0.099781,29.968333,0,0,0,true
2020-01-21T00:09:00Z,-360,1579565340000,0.959879,0.094217,29.901900,0,0,0,true
2020-01-21T00:10:00Z,-360,1579565400000,0.973604,0.093702,29.894300,0,0,0,true
2020-01-21T00:11:00Z,-360,1579565460000,0.973112,0.095529,29.906850,0,0,0,true
2020-01-21T00:12:00Z,-360,1579565520000,0.959864,0.091379,29.854500,0,0,0,true
2020-01-21T00:13:00Z,-360,1579565580000,1.053109,0.146953,29.922150,44,54,0,true
2020-01-21T00:14:00Z,-360,1579565640000,1.030683,0.126474,30.045250,40,46,0,true
2020-01-21T00:15:00Z,-360,1579565700000,0.954638,0.125967,30.103200,10,32,0,true
2020-01-21T00:16:00Z,-360,1579565760000,0.939442,0.138993,30.045250,0,0,0,true
2020-01-21T00:17:00Z,-360,1579565820000,0.930130,0.127882,30.047050,0,0,0,true
2020-01-21T00:18:00Z,-360,1579565880000,0.950722,0.126372,30.070167,0,0,0,true
2020-01-21T00:19:00Z,-360,1579565940000,1.008625,0.141289,30.137100,0,0,0,true
2020-01-21T00:20:00Z,-360,1579566000000,0.983546,0.132752,30.136783,0,0,0,true
2020-01-21T00:21:00Z,-360,1579566060000,0.985002,0.135838,30.212750,0,0,0,true
2020-01-21T00:22:00Z,-360,1579566120000,0.946982,0.122315,30.251417,0,0,0,true
2020-01-21T00:23:00Z,-360,1579566180000,0.942256,0.131175,30.316833,0,0,0,true
2020-01-21T00:24:00Z,-360,1579566240000,0.945221,0.134354,30.354600,0,0,0,true
2020-01-21T00:25:00Z,-360,1579566300000,1.072230,0.141915,30.384933,10,0,0,true
2020-01-21T00:26:00Z,-360,1579566360000,1.060178,0.146428,30.388400,0,0,0,true
2020-01-21T00:27:00Z,-360,1579566420000,0.897184,0.141582,30.282333,0,0,0,true
2020-01-21T00:28:00Z,-360,1579566480000,0.902118,0.140446,30.189883,0,0,0,true
2020-01-21T00:29:00Z,-360,1579566540000,0.936464,0.128945,30.061267,0,0,0,true
2020-01-21T00:30:00Z,-360,1579566600000,0.900400,0.117646,29.946250,0,0,0,true
2020-01-21T00:31:00Z,-360,1579566660000,0.901366,0.118086,29.937000,0,0,0,true
2020-01-21T00:32:00Z,-360,1579566720000,0.973619,0.122747,29.940583,14,42,0,true
